"","genus","common_name1","nutrient","id.x","food_desc","food_group","refuse","notes","value","units.x","trace","units.y","units","id.y","common_name2","scientific_name1","scientific_name2","family","order","class","phylum","kingdom","algae_type"
"75","caulerpa","green caviar","fatty acid 17 1","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"76","caulerpa","green caviar","fatty acid 17 1","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"77","caulerpa","green caviar","ash","09012","Algae, Green caviar, raw","Algae","0",NA,1.2,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"78","caulerpa","green caviar","ash","09012","Algae, Green caviar, raw","Algae","0",NA,1.2,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"79","caulerpa","green caviar","energy kj","09012","Algae, Green caviar, raw","Algae","0",NA,17,"kJ/100 g",FALSE,"kJ/100 g","kJ/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"80","caulerpa","green caviar","energy kj","09012","Algae, Green caviar, raw","Algae","0",NA,17,"kJ/100 g",FALSE,"kJ/100 g","kJ/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"81","caulerpa","green caviar","fatty acid 20 1","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"82","caulerpa","green caviar","fatty acid 20 1","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"83","caulerpa","green caviar","beta carotene","09012","Algae, Green caviar, raw","Algae","0",NA,74,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"84","caulerpa","green caviar","beta carotene","09012","Algae, Green caviar, raw","Algae","0",NA,74,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"85","caulerpa","green caviar","fatty acid 18 3 n 3","09012","Algae, Green caviar, raw","Algae","0",NA,7,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"86","caulerpa","green caviar","fatty acid 18 3 n 3","09012","Algae, Green caviar, raw","Algae","0",NA,7,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"87","caulerpa","green caviar","biotin","09012","Algae, Green caviar, raw","Algae","0",NA,0.1,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"88","caulerpa","green caviar","biotin","09012","Algae, Green caviar, raw","Algae","0",NA,0.1,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"89","caulerpa","green caviar","alpha tocopherol","09012","Algae, Green caviar, raw","Algae","0",NA,0.2,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"90","caulerpa","green caviar","alpha tocopherol","09012","Algae, Green caviar, raw","Algae","0",NA,0.2,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"91","caulerpa","green caviar","fatty acid 15 1","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"92","caulerpa","green caviar","fatty acid 15 1","09012","Algae, Green caviar, raw","Algae","0",NA,0,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"93","caulerpa","green caviar","manganese","09012","Algae, Green caviar, raw","Algae","0",NA,0.08,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"94","caulerpa","green caviar","manganese","09012","Algae, Green caviar, raw","Algae","0",NA,0.08,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"95","caulerpa","green caviar","phosphorus","09012","Algae, Green caviar, raw","Algae","0",NA,10,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"96","caulerpa","green caviar","phosphorus","09012","Algae, Green caviar, raw","Algae","0",NA,10,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
"97","caulerpa","green caviar","fatty acids total n 3 poly unsaturated","09012","Algae, Green caviar, raw","Algae","0",NA,0.01,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","ulvophyceae","chlorophyta","plantae",NA
"98","caulerpa","green caviar","fatty acids total n 3 poly unsaturated","09012","Algae, Green caviar, raw","Algae","0",NA,0.01,"g/100 g",FALSE,"g/100 g","g/100 g","09012",NA,"Caulerpa lentillifera",NA,"caulerpaceae","bryopsidales","bryopsidophyceae","chlorophyta","plantae",NA
