"","sciname","kingdom","phylum","class","order","family","genus","common_name","food_desc","food_group","refuse","yield","notes","acetic acid","alanine","alpha carotene","alpha tocopherol","amino acids total","amino acids total aromatic","amino acids total sulphur containing","ammonia","ammonia derived from non proteinous compounds","arginine","ascorbic acid","ash","aspartic acid","beta carotene","beta carotene equivalents","beta cryptoxanthin","beta tocopherol","biotin","calcium","carbohydrate available expressed in mono saccharide equivalents","carbohydrate total calculated by difference","cholesterol","chromium","cooking oil","copper","cystine","delta tocopherol","dietary fiber total","energy kcal","energy kj","fatty acid 10 0","fatty acid 10 1","fatty acid 12 0","fatty acid 14 0","fatty acid 14 1","fatty acid 15 0","fatty acid 15 0 anteiso acid","fatty acid 15 1","fatty acid 16 0","fatty acid 16 1","fatty acid 16 2","fatty acid 16 3","fatty acid 16 4","fatty acid 17 0","fatty acid 17 1","fatty acid 18 0","fatty acid 18 1 n 7 cis","fatty acid 18 1 n 9 cis","fatty acid 18 1 undifferentiated","fatty acid 18 2 n 6","fatty acid 18 3 n 3","fatty acid 18 3 n 6","fatty acid 18 4 n 3","fatty acid 20 0","fatty acid 20 1","fatty acid 20 2 n 6","fatty acid 20 3 n 6","fatty acid 20 4 n 3","fatty acid 20 4 n 6","fatty acid 20 5 n 3","fatty acid 21 5 n 3","fatty acid 22 0","fatty acid 22 1","fatty acid 22 2","fatty acid 22 4 n 6","fatty acid 22 5 n 3","fatty acid 22 5 n 6","fatty acid 22 6 n 3","fatty acid 24 0","fatty acid 24 1","fatty acid 4 0","fatty acid 6 0","fatty acid 7 0","fatty acid 8 0","fatty acid mono unsaturated","fatty acid poly unsaturated","fatty acid saturated","fatty acid triacyl glycerol equivalents","fatty acid unidentified","fatty acids total","fatty acids total mono unsaturated","fatty acids total n 3 poly unsaturated","fatty acids total n 6 poly unsaturated","fatty acids total poly unsaturated","fatty acids total saturated","folate","gamma tocopherol","glutamic acid","glycine","histidine","iodine","iron","isoleucine","leucine","lipid y","lysine","magnesium","manganese","methionine","molybdenum","na","niacin","organic acids total","pantothenic acid","phenylalanine","phosphorus","potassium","proline","protein","protein calculated as the sum of amino acid residues","protein calculated from reference nitrogen","protein the sum of amino acid residues","remarks x","retinol","retinol activity equivalents","riboflavin","salt equivalents","selenium","serine","sodium","thiamin","threonine","triacyl glycerol equivalents","tryptophan","tyrosine","valine","vitamin b 12","vitamin b 6","vitamin d","vitamin k","water","zinc"
"108","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", agar-agar powder",9,"0","-","Including red algae other than Tengusa
Estimation from data of the USA",NA,"8.6","0","0","91","9.5","2.5","11","8.6","1.9","0","1.2","8.6","0","0","0","0","0.1","120","0.1","81.7","0","39",NA,"0.04","0","0","79.0","165","690","0",NA,"0","3",NA,NA,NA,NA,"49","8",NA,NA,NA,NA,NA,"3",NA,NA,"8","4","1",NA,"0",NA,"8",NA,NA,NA,NA,"77",NA,NA,"0",NA,NA,"0",NA,"0",NA,NA,"0","0",NA,"0","0.02","0.08","0.05","0.2",NA,"0.16","0.02","0.08","Tr","0.08","0.05","1","0","11","5.9","0.5","81","7.3","7.7","13","0.3","3.3","39","1.01","2.5","5","Including red algae other than Tengusa
Energy: tentative value","0.1",NA,"0","8.6","39","30","3.9","0.2","0.1","0.2","0.1","Including red algae other than Tengusa","0","0","Tr","0.4","0","2.6","170","0","3.1","0.2","0.4","0.8","9.1","0.2","0","0","Tr","16.7","0.3"
"109","Gelidium elegans","plantae","rhodophyta","florideophyceae","gelidiales","gelidiaceae","gelidium","tengusa","Algae, ""Tengusa"", agar-agar powder",9,"0","-","Including red algae other than Tengusa
Estimation from data of the USA",NA,"8.6","0","0","91","9.5","2.5","11","8.6","1.9","0","1.2","8.6","0","0","0","0","0.1","120","0.1","81.7","0","39",NA,"0.04","0","0","79.0","165","690","0",NA,"0","3",NA,NA,NA,NA,"49","8",NA,NA,NA,NA,NA,"3",NA,NA,"8","4","1",NA,"0",NA,"8",NA,NA,NA,NA,"77",NA,NA,"0",NA,NA,"0",NA,"0",NA,NA,"0","0",NA,"0","0.02","0.08","0.05","0.2",NA,"0.16","0.02","0.08","Tr","0.08","0.05","1","0","11","5.9","0.5","81","7.3","7.7","13","0.3","3.3","39","1.01","2.5","5","Including red algae other than Tengusa
Energy: tentative value","0.1",NA,"0","8.6","39","30","3.9","0.2","0.1","0.2","0.1","Including red algae other than Tengusa","0","0","Tr","0.4","0","2.6","170","0","3.1","0.2","0.4","0.8","9.1","0.2","0","0","Tr","16.7","0.3"
"110","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", raw",9,"35","-","Without base     
Removed portion: stipe, center vein and fruit-bearing leaves
Estimation from 09044",NA,"130","0","0.1","1700","140","67",NA,NA,"91","15","3.3","180","930","940","26","0","4.2","100",NA,"5.6","0","1",NA,"0.02","19","0","3.6","16","67","0","0","0","2","0","Tr",NA,"0","9","Tr","0","0","0","0","0","1",NA,NA,"4","6","9","2","24","Tr","0","0","Tr","0","12","12","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"Tr","0.06","0.01","0.1",NA,"0.08","Tr","0.04","0.02","0.06","0.01","29","0","210","110","38","1600","0.7","84","160","0.2","110","110","0.05","48","3","Without base     
Removed portion: stipe, center vein and fruit-bearing leaves 
Energy: tentative value","0.9",NA,"0.19","94","36","730","77","1.9","1.4","1.9","1.4","Without base     
Removed portion: stipe, center vein and fruit-bearing leaves
Estimation from 09044","0","79","0.18","1.5","1","84","610","7.0000000000000007E-2","88","0.1","33","48","110","0.3","0.03","0","140","89.0","0.3"
"111","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", raw",9,"35","-","Without base     
Removed portion: stipe, center vein and fruit-bearing leaves
Estimation from 09044",NA,"130","0","0.1","1700","140","67",NA,NA,"91","15","3.3","180","930","940","26","0","4.2","100",NA,"5.6","0","1",NA,"0.02","19","0","3.6","16","67","0","0","0","2","0","Tr",NA,"0","9","Tr","0","0","0","0","0","1",NA,NA,"4","6","9","2","24","Tr","0","0","Tr","0","12","12","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"Tr","0.06","0.01","0.1",NA,"0.08","Tr","0.04","0.02","0.06","0.01","29","0","210","110","38","1600","0.7","84","160","0.2","110","110","0.05","48","3","Without base     
Removed portion: stipe, center vein and fruit-bearing leaves 
Energy: tentative value","0.9",NA,"0.19","94","36","730","77","1.9","1.4","1.9","1.4","Without base     
Removed portion: stipe, center vein and fruit-bearing leaves
Estimation from 09044","0","79","0.18","1.5","1","84","610","7.0000000000000007E-2","88","0.1","33","48","110","0.3","0.03","0","140","89.0","0.3"
"112","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", dried, soaked in water",9,"0","590","Estimation from 09044",NA,"130","0","0.2","1800","150","70",NA,NA,"96","3","1.6","190","1200","1200","0","0","3.6","130",NA,"5.9","0","1",NA,"0.02","20","0","5.8","17","71","0","0","0","3","0","Tr",NA,"0","14","1","0","0","0","Tr","0","1",NA,NA,"6","9","14","2","36","Tr","0","0","1","0","18","17","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.01","0.10","0.02","0.1",NA,"0.12","0.01","0.07","0.03","0.10","0.02","46","0","220","110","41","1900","0.5","88","160","0.3","110","130","0.06","50","2","Energy: tentative value","0.3",NA,"0.05","99","47","260","81","2.0","1.5","2.0","1.5","Estimation from 09044","0","100","0.08","0.7","1","89","290","0.05","93","0.1","35","51","110","Tr","0.02","0","120","90.2","0.1"
"113","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", dried, soaked in water",9,"0","590","Estimation from 09044",NA,"130","0","0.2","1800","150","70",NA,NA,"96","3","1.6","190","1200","1200","0","0","3.6","130",NA,"5.9","0","1",NA,"0.02","20","0","5.8","17","71","0","0","0","3","0","Tr",NA,"0","14","1","0","0","0","Tr","0","1",NA,NA,"6","9","14","2","36","Tr","0","0","1","0","18","17","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.01","0.10","0.02","0.1",NA,"0.12","0.01","0.07","0.03","0.10","0.02","46","0","220","110","41","1900","0.5","88","160","0.3","110","130","0.06","50","2","Energy: tentative value","0.3",NA,"0.05","99","47","260","81","2.0","1.5","2.0","1.5","Estimation from 09044","0","100","0.08","0.7","1","89","290","0.05","93","0.1","35","51","110","Tr","0.02","0","120","90.2","0.1"
"114","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", dried, ""Ita-wakame"" (made into sheets and dried)",9,"0","-","Estimation from 09044",NA,"1100","0","2.6","15000","1200","590",NA,NA,"800","20","27.5","1600","8400","8500","97","0",NA,"960",NA,"47.4","1",NA,NA,"0.13","170","0","31.7","134","561","0","0","0","12","0","1",NA,"0","56","2","0","0","0","Tr","0","4",NA,NA,"24","34","57","9","140","2","0","0","3","0","73","70","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.03","0.39","0.08","0.5",NA,"0.49","0.03","0.27","0.12","0.39","0.08","510","0","1800","920","340",NA,"6.4","740","1400","1.2","940","620","1.59","420",NA,"Energy: tentative value","9.5",NA,"0.48","830","330","7400","680","16.7","12.7","16.7","12.7","Estimation from 09044","0","710","1.50","9.9",NA,"740","3900","0.62","770","0.5","290","420","950","0.2","0.23","0","1800","7.2","5.2"
"115","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", dried, ""Ita-wakame"" (made into sheets and dried)",9,"0","-","Estimation from 09044",NA,"1100","0","2.6","15000","1200","590",NA,NA,"800","20","27.5","1600","8400","8500","97","0",NA,"960",NA,"47.4","1",NA,NA,"0.13","170","0","31.7","134","561","0","0","0","12","0","1",NA,"0","56","2","0","0","0","Tr","0","4",NA,NA,"24","34","57","9","140","2","0","0","3","0","73","70","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.03","0.39","0.08","0.5",NA,"0.49","0.03","0.27","0.12","0.39","0.08","510","0","1800","920","340",NA,"6.4","740","1400","1.2","940","620","1.59","420",NA,"Energy: tentative value","9.5",NA,"0.48","830","330","7400","680","16.7","12.7","16.7","12.7","Estimation from 09044","0","710","1.50","9.9",NA,"740","3900","0.62","770","0.5","290","420","950","0.2","0.23","0","1800","7.2","5.2"
"116","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", ""Haiboshi"" (coated with ash and dried), soaked in water",9,"0","-","Estimation from 09044",NA,"73","0","0","980","82","39",NA,NA,"53","0","0.6","100","37","37","0","0",NA,"140",NA,"2.2000000000000002","1",NA,NA,"0.08","11","0","2.2000000000000002","7","29","0","0","0","1","0","0",NA,"0","5","Tr","0","0","0","0","0","Tr",NA,NA,"2","3","5","1","12","Tr","0","0","Tr","0","6","6","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"Tr","0.03","0.01","Tr",NA,"0.04","Tr","0.02","0.01","0.03","0.01","1","0","120","61","22",NA,"0.7","49","90","0.1","62","55",NA,"28",NA,"Energy: tentative value","0",NA,"0.05","54","16","60","45","1.1000000000000001","0.8","1.1000000000000001","0.8","Estimation from 09044","0","3","0.03","0.1",NA,"49","48","0","51","Tr","19","28","62","0.2","0","0","70","96.0","0.3"
"117","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", ""Haiboshi"" (coated with ash and dried), soaked in water",9,"0","-","Estimation from 09044",NA,"73","0","0","980","82","39",NA,NA,"53","0","0.6","100","37","37","0","0",NA,"140",NA,"2.2000000000000002","1",NA,NA,"0.08","11","0","2.2000000000000002","7","29","0","0","0","1","0","0",NA,"0","5","Tr","0","0","0","0","0","Tr",NA,NA,"2","3","5","1","12","Tr","0","0","Tr","0","6","6","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"Tr","0.03","0.01","Tr",NA,"0.04","Tr","0.02","0.01","0.03","0.01","1","0","120","61","22",NA,"0.7","49","90","0.1","62","55",NA,"28",NA,"Energy: tentative value","0",NA,"0.05","54","16","60","45","1.1000000000000001","0.8","1.1000000000000001","0.8","Estimation from 09044","0","3","0.03","0.1",NA,"49","48","0","51","Tr","19","28","62","0.2","0","0","70","96.0","0.3"
"118","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", dried",9,"0","-","Estimation from 09044",NA,"910","0","1.0","12000","1000","480",NA,NA,"650","27","30.8","1300","7700","7800","93","0",NA,"780",NA,"41.3","0",NA,NA,"0.08","140","0","32.700000000000003","117","490","0","0","0","17","0","1",NA,"0","75","3","0","0","0","1","0","5",NA,NA,"32","46","76","12","190","3","0","0","4","0","98","93","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.03","0.52","0.10","0.7",NA,"0.65","0.03","0.36","0.16","0.52","0.10","440","0","1500","750","280",NA,"2.6","600","1100","1.6","760","1100","0.32","340",NA,"Energy: tentative value","10.5",NA,"0.46","670","350","5200","550","13.6","10.4","13.6","10.4","Estimation from 09044","0","650","0.83","16.8",NA,"600","6600","0.39","630","0.7","240","340","770","0.2","0.09","0","660","12.7","0.9"
"119","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", dried",9,"0","-","Estimation from 09044",NA,"910","0","1.0","12000","1000","480",NA,NA,"650","27","30.8","1300","7700","7800","93","0",NA,"780",NA,"41.3","0",NA,NA,"0.08","140","0","32.700000000000003","117","490","0","0","0","17","0","1",NA,"0","75","3","0","0","0","1","0","5",NA,NA,"32","46","76","12","190","3","0","0","4","0","98","93","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.03","0.52","0.10","0.7",NA,"0.65","0.03","0.36","0.16","0.52","0.10","440","0","1500","750","280",NA,"2.6","600","1100","1.6","760","1100","0.32","340",NA,"Energy: tentative value","10.5",NA,"0.46","670","350","5200","550","13.6","10.4","13.6","10.4","Estimation from 09044","0","650","0.83","16.8",NA,"600","6600","0.39","630","0.7","240","340","770","0.2","0.09","0","660","12.7","0.9"
"120","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae,  ""Wakame"", blanched and salted products, desalted",9,"0","-","Estimation from 15-36a by Standard Tables of Food Composition in Japan [Fatty Acids, Cholesterol and Vitamin E (TOCOPHEROLS)]",NA,"120","0","0.1","1600","150","68","32",NA,"100","0","1.5","170","250","250","0","0","1.8","42","0","3.1","0","1",NA,"0.01","18","0","3.0","11","46",NA,NA,NA,"5",NA,"1",NA,NA,"25","5",NA,NA,NA,"Tr",NA,"2",NA,NA,"11","13","26","3","65","1",NA,NA,"1","2","27","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.02","0.17","0.03","0.2","3","0.22","0.02","0.13","0.04","0.17","0.03","11","0","190","99","36","780","0.5","78","140","0.4","100","19","0.03","50","0","Energy: tentative value","Tr",NA,"0.12","87","31","12","77","1.7","1.4","1.7","1.4",NA,"0","21","0.01","1.4","Tr","79","540","0.01","82","0.2","33","66","100","0","Tr","0","100","93.3","0.2"
"121","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae,  ""Wakame"", blanched and salted products, desalted",9,"0","-","Estimation from 15-36a by Standard Tables of Food Composition in Japan [Fatty Acids, Cholesterol and Vitamin E (TOCOPHEROLS)]",NA,"120","0","0.1","1600","150","68","32",NA,"100","0","1.5","170","250","250","0","0","1.8","42","0","3.1","0","1",NA,"0.01","18","0","3.0","11","46",NA,NA,NA,"5",NA,"1",NA,NA,"25","5",NA,NA,NA,"Tr",NA,"2",NA,NA,"11","13","26","3","65","1",NA,NA,"1","2","27","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.02","0.17","0.03","0.2","3","0.22","0.02","0.13","0.04","0.17","0.03","11","0","190","99","36","780","0.5","78","140","0.4","100","19","0.03","50","0","Energy: tentative value","Tr",NA,"0.12","87","31","12","77","1.7","1.4","1.7","1.4",NA,"0","21","0.01","1.4","Tr","79","540","0.01","82","0.2","33","66","100","0","Tr","0","100","93.3","0.2"
"122","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", stipe and center vein, blanched and salted products, desalted",9,"0","-","Estimation from 09044",NA,"73","0","0","980","82","39",NA,NA,"53","0","8.1999999999999993","100","56","56","0","0",NA,"86",NA,"5.5","0",NA,NA,"0.02","11","0","5.0999999999999996","15","63","0","0","0","3","0","Tr",NA,"0","14","1","0","0","0","Tr","0","1",NA,NA,"6","9","14","2","36","Tr","0","0","1","0","18","17","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.01","0.10","0.02","0.1",NA,"0.12","0.01","0.07","0.03","0.10","0.02","2","0","120","61","22",NA,"0.4","49","90","0.3","62","70","0.04","28",NA,"Energy: tentative value","0.1",NA,"7.0000000000000007E-2","54","34","88","45","1.1000000000000001","0.8","1.1000000000000001","0.8","Estimation from 09044","0","5","0.02","7.9",NA,"49","3100","0.02","51","0.1","19","28","62","0","Tr","0","33","84.9","0.1"
"123","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", stipe and center vein, blanched and salted products, desalted",9,"0","-","Estimation from 09044",NA,"73","0","0","980","82","39",NA,NA,"53","0","8.1999999999999993","100","56","56","0","0",NA,"86",NA,"5.5","0",NA,NA,"0.02","11","0","5.0999999999999996","15","63","0","0","0","3","0","Tr",NA,"0","14","1","0","0","0","Tr","0","1",NA,NA,"6","9","14","2","36","Tr","0","0","1","0","18","17","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.01","0.10","0.02","0.1",NA,"0.12","0.01","0.07","0.03","0.10","0.02","2","0","120","61","22",NA,"0.4","49","90","0.3","62","70","0.04","28",NA,"Energy: tentative value","0.1",NA,"7.0000000000000007E-2","54","34","88","45","1.1000000000000001","0.8","1.1000000000000001","0.8","Estimation from 09044","0","5","0.02","7.9",NA,"49","3100","0.02","51","0.1","19","28","62","0","Tr","0","33","84.9","0.1"
"124","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", fruit-bearing leaves, raw",9,"0","-",NA,NA,"94","0","0.1","780","58","32","14",NA,"45","2","0.9","81","240","240","2","0","2.2000000000000002","77","0","3.4","0","1",NA,"0.02","12","0","3.4","11","46","0","0","0","24","Tr","1",NA,"0","170","3","Tr","0","0","1","0","19",NA,NA,"150","33","4","5","5","5","0","Tr","4","Tr","40","15","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.15","0.11","0.22","0.5",NA,"0.48","0.15","0.02","0.08","0.11","0.22","36","0","99","52","17","390","0.3","30","58","0.6","46","61","0.03","20","2","Energy: tentative value
Sample: frozen product","0.2",NA,"0.05","35","26","88","35","0.9","0.7","0.9","0.7",NA,"0","20","0.03","0.4","Tr","37","170","0.02","38","0.5","11","23","46","0","0.01","0","40","94.2","0.2"
"125","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", fruit-bearing leaves, raw",9,"0","-",NA,NA,"94","0","0.1","780","58","32","14",NA,"45","2","0.9","81","240","240","2","0","2.2000000000000002","77","0","3.4","0","1",NA,"0.02","12","0","3.4","11","46","0","0","0","24","Tr","1",NA,"0","170","3","Tr","0","0","1","0","19",NA,NA,"150","33","4","5","5","5","0","Tr","4","Tr","40","15","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.15","0.11","0.22","0.5",NA,"0.48","0.15","0.02","0.08","0.11","0.22","36","0","99","52","17","390","0.3","30","58","0.6","46","61","0.03","20","2","Energy: tentative value
Sample: frozen product","0.2",NA,"0.05","35","26","88","35","0.9","0.7","0.9","0.7",NA,"0","20","0.03","0.4","Tr","37","170","0.02","38","0.5","11","23","46","0","0.01","0","40","94.2","0.2"
"126","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", cut and dried",9,"0","-",NA,NA,"1200","0","0.3","16000","1300","630","240",NA,"860","0","27.6","1700","1800","1800","0","0","28.0","820","0","41.8","0","10",NA,"0.16","180","0","35.6","138","577","0","0","0","41","0","3",NA,"0","190","7","0","0","0","1","0","13",NA,NA,"80","110","190","30","470","7","0","0","9","0","240","230","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.09","1.29","0.25","1.7",NA,"1.64","0.09","0.90","0.40","1.29","0.25","18","0","1900","1000","360","8500","6.1","790","1500","4.0","1000","410",NA,"450","10","Energy: tentative value","0.3",NA,"0.12","890","290","440","730","18.0","13.7","18.0","13.7",NA,"0","150","7.0000000000000007E-2","24.1","8","800","9500","0.05","830","1.7","310","460","1000","0","0","0","1600","8.6","2.8"
"127","Undaria pinnatifida","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","undaria","wakame","Algae, ""Wakame"", cut and dried",9,"0","-",NA,NA,"1200","0","0.3","16000","1300","630","240",NA,"860","0","27.6","1700","1800","1800","0","0","28.0","820","0","41.8","0","10",NA,"0.16","180","0","35.6","138","577","0","0","0","41","0","3",NA,"0","190","7","0","0","0","1","0","13",NA,NA,"80","110","190","30","470","7","0","0","9","0","240","230","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0.09","1.29","0.25","1.7",NA,"1.64","0.09","0.90","0.40","1.29","0.25","18","0","1900","1000","360","8500","6.1","790","1500","4.0","1000","410",NA,"450","10","Energy: tentative value","0.3",NA,"0.12","890","290","440","730","18.0","13.7","18.0","13.7",NA,"0","150","7.0000000000000007E-2","24.1","8","800","9500","0.05","830","1.7","310","460","1000","0","0","0","1600","8.6","2.8"
